Time,Execution Time
Thu Nov 26 15:23:39 2020,0.40918493270874023
Thu Nov 26 15:23:41 2020,0.4495217800140381
Thu Nov 26 15:23:42 2020,0.3428349494934082
Thu Nov 26 15:23:43 2020,0.33983778953552246
Thu Nov 26 15:23:45 2020,0.36442112922668457
Thu Nov 26 15:23:46 2020,0.4069666862487793
Thu Nov 26 15:23:47 2020,0.3828399181365967
Thu Nov 26 15:23:49 2020,0.37110090255737305
Thu Nov 26 15:23:50 2020,0.4201531410217285
Thu Nov 26 15:23:52 2020,0.4113740921020508
Thu Nov 26 15:23:53 2020,0.41062402725219727
Thu Nov 26 15:23:54 2020,0.3747572898864746
Thu Nov 26 15:23:56 2020,0.412992000579834
Thu Nov 26 15:23:57 2020,0.39365601539611816
Thu Nov 26 15:23:59 2020,0.40953493118286133
Thu Nov 26 15:24:00 2020,0.39081478118896484
Thu Nov 26 15:24:02 2020,0.40273094177246094
Thu Nov 26 15:24:03 2020,0.3552570343017578
Thu Nov 26 15:24:04 2020,0.4036898612976074
Thu Nov 26 15:24:06 2020,0.41518402099609375
Thu Nov 26 15:24:07 2020,0.39520812034606934
Thu Nov 26 15:24:08 2020,0.3749980926513672
Thu Nov 26 15:24:10 2020,0.38709402084350586
Thu Nov 26 15:24:11 2020,0.3735170364379883
Thu Nov 26 15:24:13 2020,0.3777189254760742
Thu Nov 26 15:24:14 2020,0.4104330539703369
Thu Nov 26 15:24:15 2020,0.40723586082458496
Thu Nov 26 15:24:17 2020,0.41288018226623535
Thu Nov 26 15:24:18 2020,0.42523694038391113
Thu Nov 26 15:24:20 2020,0.3955700397491455
Thu Nov 26 15:24:21 2020,0.3491709232330322
Thu Nov 26 15:24:22 2020,0.38048505783081055
Thu Nov 26 15:24:24 2020,0.39183592796325684
Thu Nov 26 15:24:25 2020,0.3930020332336426
Thu Nov 26 15:24:27 2020,0.4287381172180176
Thu Nov 26 15:24:28 2020,0.3899350166320801
Thu Nov 26 15:24:29 2020,0.39879298210144043
Thu Nov 26 15:24:31 2020,0.43738269805908203
Thu Nov 26 15:24:32 2020,0.37336206436157227
Thu Nov 26 15:24:34 2020,0.4128398895263672
Thu Nov 26 15:24:35 2020,0.4109151363372803
Thu Nov 26 15:24:37 2020,0.4149742126464844
Thu Nov 26 15:24:38 2020,0.41663694381713867
Thu Nov 26 15:24:39 2020,0.39110589027404785
Thu Nov 26 15:24:41 2020,0.37741899490356445
Thu Nov 26 15:24:42 2020,0.40398216247558594
Thu Nov 26 15:24:44 2020,0.41845107078552246
Thu Nov 26 15:24:45 2020,0.40932464599609375
Thu Nov 26 15:24:46 2020,0.4062941074371338
Thu Nov 26 15:24:48 2020,0.4226570129394531
Thu Nov 26 15:24:49 2020,0.4096970558166504
Thu Nov 26 15:24:51 2020,0.3982999324798584
Thu Nov 26 15:24:52 2020,0.43659186363220215
Thu Nov 26 15:24:53 2020,0.4064509868621826
Thu Nov 26 15:24:55 2020,0.3965280055999756
Thu Nov 26 15:24:56 2020,0.42349910736083984
Thu Nov 26 15:24:58 2020,0.6250262260437012
Thu Nov 26 15:24:59 2020,0.4028191566467285
Thu Nov 26 15:25:01 2020,0.42444491386413574
Thu Nov 26 15:25:02 2020,0.39771580696105957
Thu Nov 26 15:25:04 2020,0.41140007972717285
Thu Nov 26 15:25:05 2020,0.4092137813568115
Thu Nov 26 15:25:06 2020,0.37585997581481934
Thu Nov 26 15:25:08 2020,0.3958101272583008
Thu Nov 26 15:25:09 2020,0.38714599609375
Thu Nov 26 15:25:11 2020,0.42952609062194824
Thu Nov 26 15:25:12 2020,0.40842700004577637
Thu Nov 26 15:25:13 2020,0.3924369812011719
Thu Nov 26 15:25:15 2020,0.36577725410461426
Thu Nov 26 15:25:16 2020,0.41111087799072266
Thu Nov 26 15:25:18 2020,0.42325711250305176
Thu Nov 26 15:25:19 2020,0.40671300888061523
Thu Nov 26 15:25:20 2020,0.432905912399292
Thu Nov 26 15:25:22 2020,0.4190189838409424
Thu Nov 26 15:25:23 2020,0.39258718490600586
Thu Nov 26 15:25:24 2020,0.24089384078979492
Thu Nov 26 15:25:26 2020,0.41506195068359375
Thu Nov 26 15:25:27 2020,0.403731107711792
Thu Nov 26 15:25:29 2020,0.4219930171966553
Thu Nov 26 15:25:30 2020,0.4046180248260498
Thu Nov 26 15:25:32 2020,0.37314391136169434
Thu Nov 26 15:25:33 2020,0.4159832000732422
Thu Nov 26 15:25:34 2020,0.3991539478302002
Thu Nov 26 15:25:36 2020,0.3824789524078369
Thu Nov 26 15:25:37 2020,0.4201080799102783
Thu Nov 26 15:25:39 2020,0.41378283500671387
Thu Nov 26 15:25:40 2020,0.41453003883361816
Thu Nov 26 15:25:42 2020,0.5660169124603271
Thu Nov 26 15:25:43 2020,0.41214799880981445
Thu Nov 26 15:25:44 2020,0.34199094772338867
Thu Nov 26 15:25:46 2020,0.40708279609680176
Thu Nov 26 15:25:47 2020,0.44345903396606445
Thu Nov 26 15:25:49 2020,0.3937852382659912
Thu Nov 26 15:25:50 2020,0.408405065536499
Thu Nov 26 15:25:51 2020,0.39789915084838867
Thu Nov 26 15:25:53 2020,0.374802827835083
Thu Nov 26 15:25:54 2020,0.4370100498199463
Thu Nov 26 15:25:56 2020,0.3846781253814697
Thu Nov 26 15:25:57 2020,0.4104189872741699
Thu Nov 26 15:25:58 2020,0.4273958206176758
Thu Nov 26 15:26:00 2020,0.4111180305480957
Thu Nov 26 15:26:01 2020,0.4053170680999756
